baseId,featureName,featureDescription,emblemName,emblemDescription
1,终结,体力低于1/4时，消耗弱点记号的技能伤害增加25%，且使水泡必中并附加30点伤害,追击,命中率和闪避率提高10%
4,炎火,体力低于1/4时，火系技能造成的伤害增加25%，且使火焰必中并附加30点伤害,怒火,怒气回复率提高20%（攻击命中与回合结束回复的怒气除外）
7,坚韧,体力低于1/4时，受到的伤害减少25%，且使种子爆弹必中并附加30点伤害,治愈,体力回复率提高20%
10,入梦,首发时可以进入精灵的梦境,魅惑,免疫魅惑状态
13,阳光,晴天环境下每回合恢复自身1/16体力,抗毒,免疫中毒状态
16,重压,体重超过100KG时造成伤害提升10%,重量,增加体重10KG
18,坚强,体力低于1/4时，受到物理伤害减少30%,树皮,免疫流血状态
20,流水,体力低于1/4时，水系技能伤害增加25%,失明,免疫失明状态
22,毒药,对手具有慢性毒药时自身伤害增加10%,慢性,免疫慢性毒药状态
25,空气,水系技能命中率提高5%，具有空气值时伤害提升10%,窒息,免疫窒息状态
28,锋利,普通系技能的伤害增加25%,星之,使星之力提升自身速度1级
30,潮湿,雨天时水纹屏障吸收量增加50%,震击,水纹震击提升的致命几率再增加15%
32,燃烧,对手烧伤时自身伤害增加15%,易燃,受到攻击时15%使对手烧伤3回合
34,眩晕,对手眩晕时增加自身伤害15%,眩晕,受到攻击时15%使对手眩晕5回合
37,阳炎,炎热环境时命中率增加10%,威严,免疫害怕状态
39,抢攻,先出手时造成的伤害增加10%,焰火,增加1回合焰火的效果回合数
41,光滑,闪避率提高10%,虚弱,对手处于能力下降状态时自身伤害增加10%
46,偏斜,受到物理伤害减少30%，受到特殊伤害增加15%,辉之,出场自带星之辉状态
51,财宝,造成或受到伤害时获得1层生财,摇铃,非战斗时的事件触发概率变为4倍（不可叠加）
53,石肤,对手具有弱化时自身受到的伤害减少15%,重心,受到的暴击伤害减少35%
55,连攻,非首发时造成的伤害增加10%,针灸,增加2回合针灸的持续时间
58,高瞻,身高100公分以上时命中率增加10%,拳之,拳类技能伤害增加10%
61,有爱,以爱的名义伤害增加10%,爱的,首次出场时自带爱的名义
63,坚固,受到的伤害减少10%,大地,使大地之墙的持续效果增加1回合
67,蛋壳,自身具有蛋壳时受到伤害减少10%,沙之,暴击抵抗提升15%
72,蓄水,水量充足时伤害增加5%，水量饱和时伤害增加10%,潮水,潮水技能使对手中溺水的几率提升10%
74,火环,回合结束时若自身具有火环之心则会增加1层,火心,每层火环之心的伤害提升由6%转变为10%
77,鹰眼,先出手时伤害增加10%，后出手时受到伤害减少10%,夜视,夜幕时伤害增加15%且必中
