baseId,featureName,featureDescription,emblemName,emblemDescription
1,终结,体力低于1/4时，消耗弱点记号的技能伤害增加25%，且使水泡必中并附加30点伤害,追击,命中率和闪避率提高10%
4,炎火,体力低于1/4时，火系技能造成的伤害增加25%，且使火焰必中并附加30点伤害,怒火,怒气回复率提高20%（攻击命中与回合结束回复的怒气除外）
7,坚韧,体力低于1/4时，受到的伤害减少25%，且使种子爆弹必中并附加30点伤害,治愈,体力回复率提高20%
10,入梦,首发时可以进入精灵的梦境,魅惑,免疫魅惑状态
13,阳光,晴天环境下每回合恢复自身1/16体力,抗毒,免疫中毒状态
16,重压,体重超过100KG时造成伤害提升10%,重量,增加体重10KG
18,坚强,体力低于1/4时，受到物理伤害减少30%,树皮,免疫流血状态
20,流水,体力低于1/4时，水系技能伤害增加25%,失明,免疫失明状态
22,毒药,对手具有慢性毒药时自身伤害增加10%,慢性,免疫慢性毒药状态
25,空气,水系技能命中率提高5%，具有空气值时伤害提升10%,窒息,免疫窒息状态
28,锋利,普通系技能的伤害增加25%,星之,使星之力提升自身速度1级
30,潮湿,雨天时水纹屏障吸收量增加50%,震击,水纹震击提升的致命几率再增加15%
32,燃烧,对手烧伤时自身伤害增加15%,易燃,受到攻击时15%使对手烧伤3回合
34,眩晕,对手眩晕时增加自身伤害15%,眩晕,受到攻击时15%使对手眩晕5回合
37,阳炎,炎热环境时命中率增加10%,威严,免疫害怕状态
39,抢攻,先出手时造成的伤害增加10%,焰火,增加1回合焰火的效果回合数
41,光滑,闪避率提高10%,虚弱,对手处于能力下降状态时自身伤害增加10%
46,偏斜,受到物理伤害减少30%，受到特殊伤害增加15%,辉之,出场自带星之辉状态
51,财宝,造成或受到伤害时获得1层生财,摇铃,非战斗时的事件触发概率变为4倍
55,连攻,非首发时造成的伤害增加10%,针灸,增加2回合针灸的持续时间
58,高瞻,身高100公分以上时命中率增加10%,拳之,拳类技能伤害增加10%
61,有爱,以爱的名义伤害增加10%,爱的,首次出场时自带爱的名义
72,蓄水,水量充足时伤害增加5%，水量饱和时伤害增加10%,潮水,潮水技能使对手中溺水的几率提升10%
74,火环,回合结束时若自身具有火环之心则会增加1层,火心,每层火环之心的伤害提升由6%转变为10%
90,雷神,每次出场时使环境转变为雷暴天,雷祭,命中麻痹的对手会回复自身5点怒气
91,速成,升级速度提升50%,重击,使重击伤害增加35%
92,气流,每回合恢复5点怒气,风暴,使用风暴之星会额外恢复5点怒气
93,致命,暴击率增加10%,电荷,每层电荷额外增加5%暴击率
94,破冰,冰系伤害增加15%,深结,对手冻伤/冰冻时暴击率分别增加10%/20%
